iter	Passed	Remaining
909	1234	122
910	1235	120
911	1236	119
912	1237	117
913	1238	116
914	1238	115
915	1239	113
916	1241	112
917	1242	110
918	1243	109
919	1244	108
920	1245	106
921	1247	105
922	1248	104
923	1249	102
924	1250	101
925	1251	100
926	1252	98
927	1254	97
928	1255	95
929	1256	94
930	1258	93
931	1259	91
932	1260	90
933	1262	89
934	1262	87
935	1264	86
936	1265	85
937	1266	83
938	1267	82
939	1268	80
940	1269	79
941	1271	78
942	1272	76
943	1273	75
944	1274	74
945	1275	72
946	1276	71
947	1277	70
948	1279	68
949	1280	67
950	1281	66
951	1282	64
952	1283	63
953	1285	61
954	1286	60
955	1287	59
956	1287	57
957	1288	56
958	1289	55
959	1290	53
960	1291	52
961	1292	51
962	1293	49
963	1295	48
964	1296	47
965	1297	45
966	1298	44
967	1299	42
968	1300	41
969	1302	40
970	1303	38
971	1304	37
972	1305	36
973	1306	34
974	1307	33
975	1307	32
976	1308	30
977	1309	29
978	1310	28
979	1311	26
980	1312	25
981	1313	24
982	1315	22
983	1316	21
984	1317	20
985	1318	18
986	1319	17
987	1320	16
988	1321	14
989	1321	13
990	1322	12
991	1323	10
992	1324	9
993	1325	8
994	1326	6
995	1327	5
996	1329	3
997	1330	2
998	1331	1
999	1332	0
